Comida,Repetición,Edad
salads,4,viejo
seafood,1,joven
seafood,3,joven
salads,3,mediano
stews,5,mediano
soups,1,viejo
seafood,4,viejo
cereals,2,viejo
noodles,1,viejo
pasta,2,mediano
stews,1,joven
cereals,5,joven
seafood,5,viejo
soups,3,viejo
pies,2,mediano
desserts,1,joven
pasta,1,mediano
seafood,4,joven
soups,3,joven
seafood,1,joven
salads,5,joven
pasta,5,viejo
desserts,1,joven
seafood,3,mediano
pasta,4,joven
salads,2,viejo
noodles,5,joven
seafood,2,joven
pies,4,viejo
seafood,3,mediano
desserts,5,mediano
seafood,3,mediano
noodles,2,viejo
seafood,3,viejo
cereals,5,viejo
seafood,1,viejo
stews,2,joven
desserts,3,viejo
seafood,5,joven
pasta,3,mediano
stews,2,viejo
noodles,1,joven
pasta,1,mediano
pies,3,viejo
stews,5,joven
sandwiches,4,joven
seafood,2,viejo
sandwiches,1,viejo
noodles,4,joven
soups,2,viejo
sandwiches,5,joven
desserts,1,joven
desserts,5,viejo
cereals,1,joven
cereals,4,mediano
pies,5,mediano
cereals,4,mediano
soups,4,viejo
soups,1,joven
seafood,4,viejo
cereals,1,viejo
sandwiches,3,joven
cereals,5,mediano
soups,2,joven
seafood,3,mediano
pasta,2,joven
salads,1,viejo
salads,5,joven
sandwiches,5,viejo
salads,1,viejo
salads,5,mediano
seafood,2,joven
noodles,1,joven
sandwiches,4,mediano
cereals,5,viejo
desserts,2,joven
pies,1,mediano
seafood,1,mediano
salads,1,viejo
pasta,5,joven
seafood,4,viejo
desserts,3,joven
desserts,5,viejo
salads,1,viejo
seafood,2,joven
sandwiches,2,mediano
sandwiches,2,joven
soups,5,joven
salads,3,mediano
stews,1,mediano
stews,4,mediano
stews,4,viejo
sandwiches,1,joven
stews,1,mediano
cereals,5,viejo
sandwiches,3,mediano
pasta,1,viejo
pasta,1,joven
pies,2,mediano
desserts,3,viejo
